127.0.0.1 - - [29/Dec/2025:09:54:21 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [29/Dec/2025:09:54:23 +0530] "GET /ElectroApp/index.jsp HTTP/1.1" 200 36093
0:0:0:0:0:0:0:1 - - [29/Dec/2025:09:54:23 +0530] "GET /ElectroApp/lib/owlcarousel/assets/owl.carousel.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2025:09:54:23 +0530] "GET /ElectroApp/lib/animate/animate.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2025:09:54:23 +0530] "GET /ElectroApp/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2025:09:54:23 +0530] "GET /ElectroApp/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2025:09:54:23 +0530] "GET /ElectroApp/img/carousel-2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2025:09:54:23 +0530] "GET /ElectroApp/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2025:09:54:23 +0530] "GET /ElectroApp/lib/owlcarousel/owl.carousel.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2025:09:54:23 +0530] "GET /ElectroApp/img/carousel-1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2025:09:54:23 +0530] "GET /ElectroApp/lib/wow/wow.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2025:09:54:23 +0530] "GET /ElectroApp/img/header-img.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2025:09:54:23 +0530] "GET /ElectroApp/img/product-2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2025:09:54:23 +0530] "GET /ElectroApp/img/product-1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2025:09:54:23 +0530] "GET /ElectroApp/img/product-banner.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2025:09:54:23 +0530] "GET /ElectroApp/img/product-banner-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2025:09:54:23 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [29/Dec/2025:09:54:28 +0530] "GET /ElectroApp/login.jsp HTTP/1.1" 200 19323
0:0:0:0:0:0:0:1 - - [29/Dec/2025:09:55:02 +0530] "POST /ElectroApp/UserController HTTP/1.1" 200 19345
0:0:0:0:0:0:0:1 - - [29/Dec/2025:09:55:27 +0530] "POST /ElectroApp/UserController HTTP/1.1" 200 19345
0:0:0:0:0:0:0:1 - - [29/Dec/2025:09:55:38 +0530] "POST /ElectroApp/UserController HTTP/1.1" 200 19345
0:0:0:0:0:0:0:1 - - [29/Dec/2025:09:58:54 +0530] "POST /ElectroApp/UserController HTTP/1.1" 200 19351
0:0:0:0:0:0:0:1 - - [29/Dec/2025:09:59:01 +0530] "POST /ElectroApp/UserController HTTP/1.1" 200 19351
0:0:0:0:0:0:0:1 - - [29/Dec/2025:09:59:25 +0530] "POST /ElectroApp/UserController HTTP/1.1" 200 97692
0:0:0:0:0:0:0:1 - - [29/Dec/2025:09:59:25 +0530] "GET /ElectroApp/product_image/P1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2025:09:59:25 +0530] "GET /ElectroApp/product_image/L2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2025:09:59:25 +0530] "GET /ElectroApp/product_image/L3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2025:09:59:25 +0530] "GET /ElectroApp/product_image/C2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2025:09:59:25 +0530] "GET /ElectroApp/profile_picture/N.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2025:09:59:25 +0530] "GET /ElectroApp/product_image/P4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2025:09:59:25 +0530] "GET /ElectroApp/product_image/Fr1.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2025:09:59:25 +0530] "GET /ElectroApp/product_image/product-8.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2025:09:59:25 +0530] "GET /ElectroApp/product_image/L4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2025:09:59:25 +0530] "GET /ElectroApp/product_image/product-2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2025:09:59:25 +0530] "GET /ElectroApp/product_image/3.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2025:09:59:25 +0530] "GET /ElectroApp/product_image/2.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2025:09:59:25 +0530] "GET /ElectroApp/product_image/4.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2025:09:59:25 +0530] "GET /ElectroApp/product_image/L1.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2025:09:59:44 +0530] "GET /ElectroApp/shop.jsp HTTP/1.1" 200 90878
0:0:0:0:0:0:0:1 - - [29/Dec/2025:09:59:44 +0530] "GET /ElectroApp/img/carousel-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2025:09:59:47 +0530] "GET /ElectroApp/product-detail.jsp?pid=1 HTTP/1.1" 200 53791
0:0:0:0:0:0:0:1 - - [29/Dec/2025:09:59:47 +0530] "GET /ElectroApp/lib/waypoints/waypoints.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2025:09:59:47 +0530] "GET /ElectroApp/lib/easing/easing.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2025:09:59:47 +0530] "GET /ElectroApp/lib/counterup/counterup.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2025:09:59:47 +0530] "GET /ElectroApp/lib/lightbox/js/lightbox.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2025:09:59:50 +0530] "GET /ElectroApp/add-to-cart.jsp?pid=1&user_id=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Dec/2025:09:59:50 +0530] "GET /ElectroApp/cart.jsp HTTP/1.1" 200 24880
0:0:0:0:0:0:0:1 - - [29/Dec/2025:09:59:54 +0530] "GET /ElectroApp/shop.jsp HTTP/1.1" 200 90878
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:00:03 +0530] "GET /ElectroApp/product-detail.jsp?pid=6 HTTP/1.1" 200 53649
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:00:06 +0530] "GET /ElectroApp/add-to-cart.jsp?pid=6&user_id=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:00:06 +0530] "GET /ElectroApp/cart.jsp HTTP/1.1" 200 26885
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:00:12 +0530] "GET /ElectroApp/shop.jsp HTTP/1.1" 200 90878
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:00:15 +0530] "GET /ElectroApp/product-detail.jsp?pid=7 HTTP/1.1" 200 53664
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:00:17 +0530] "GET /ElectroApp/add-to-cart.jsp?pid=7&user_id=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:00:17 +0530] "GET /ElectroApp/cart.jsp HTTP/1.1" 200 28880
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:00:20 +0530] "GET /ElectroApp/OrderCreation?amount=315000 HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:00:41 +0530] "GET /ElectroApp/OrderCreation?amount=315000 HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:00:53 +0530] "GET /ElectroApp/OrderCreation?amount=315000 HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:01:07 +0530] "GET /ElectroApp/OrderCreation?amount=315000 HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:01:19 +0530] "GET /ElectroApp/cart.jsp HTTP/1.1" 200 28880
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:01:25 +0530] "GET /ElectroApp/OrderCreation?amount=315000 HTTP/1.1" 200 20
