127.0.0.1 - - [18/Nov/2025:17:49:18 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [18/Nov/2025:17:49:21 +0530] "GET /ElectroApp/index.jsp HTTP/1.1" 200 157490
0:0:0:0:0:0:0:1 - - [18/Nov/2025:17:49:21 +0530] "GET /ElectroApp/lib/animate/animate.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2025:17:49:21 +0530] "GET /ElectroApp/lib/owlcarousel/assets/owl.carousel.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2025:17:49:21 +0530] "GET /ElectroApp/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2025:17:49:21 +0530] "GET /ElectroApp/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2025:17:49:21 +0530] "GET /ElectroApp/img/carousel-1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2025:17:49:21 +0530] "GET /ElectroApp/img/carousel-2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2025:17:49:21 +0530] "GET /ElectroApp/lib/wow/wow.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2025:17:49:21 +0530] "GET /ElectroApp/lib/owlcarousel/owl.carousel.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2025:17:49:21 +0530] "GET /ElectroApp/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2025:17:49:21 +0530] "GET /ElectroApp/img/header-img.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2025:17:49:21 +0530] "GET /ElectroApp/img/product-2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2025:17:49:21 +0530] "GET /ElectroApp/img/product-1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2025:17:49:21 +0530] "GET /ElectroApp/img/product-3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2025:17:49:21 +0530] "GET /ElectroApp/img/product-4.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2025:17:49:21 +0530] "GET /ElectroApp/img/product-5.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2025:17:49:21 +0530] "GET /ElectroApp/img/product-6.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2025:17:49:21 +0530] "GET /ElectroApp/img/product-8.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2025:17:49:21 +0530] "GET /ElectroApp/img/product-7.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2025:17:49:21 +0530] "GET /ElectroApp/img/product-9.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2025:17:49:21 +0530] "GET /ElectroApp/img/product-11.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2025:17:49:21 +0530] "GET /ElectroApp/img/product-10.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2025:17:49:21 +0530] "GET /ElectroApp/img/product-12.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2025:17:49:21 +0530] "GET /ElectroApp/img/product-15.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2025:17:49:21 +0530] "GET /ElectroApp/img/product-14.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2025:17:49:21 +0530] "GET /ElectroApp/img/product-17.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2025:17:49:21 +0530] "GET /ElectroApp/img/product-13.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2025:17:49:21 +0530] "GET /ElectroApp/img/product-16.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2025:17:49:21 +0530] "GET /ElectroApp/img/product-banner.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2025:17:49:21 +0530] "GET /ElectroApp/img/product-banner-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2025:17:49:22 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [18/Nov/2025:17:49:25 +0530] "GET /ElectroApp/login.jsp HTTP/1.1" 200 24464
